label,model,provider,tpq,intra_threads,bind_cores,time_s,max_rss_mb,status
giant_AIX,giant,AIX,N/A,N/A,N/A,11.6331,247904,SUCCESS
giant_AIX,giant,AIX,N/A,N/A,N/A,8.74813,246166,SUCCESS
giant_AIX,giant,AIX,N/A,N/A,N/A,8.66164,244620,SUCCESS
giant_AIX,giant,AIX,N/A,N/A,N/A,9.15271,241551,SUCCESS
giant_AIX,giant,AIX,N/A,N/A,N/A,8.58208,245337,SUCCESS
giant_AIX,giant,AIX,N/A,N/A,N/A,8.69857,242280,SUCCESS
giant_AIX,giant,AIX,N/A,N/A,N/A,8.68462,241522,SUCCESS
giant_AIX,giant,AIX,N/A,N/A,N/A,8.62479,246827,SUCCESS
giant_AIX,giant,AIX,N/A,N/A,N/A,9.46394,252175,SUCCESS
giant_AIX,giant,AIX,N/A,N/A,N/A,8.60761,240012,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,18.9476,179628,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,17.85,177830,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,18.2515,179092,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,17.7739,180930,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,17.7796,182168,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,17.822,182926,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,17.7988,180234,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,17.8917,180371,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,17.8766,178520,SUCCESS
mmcp_transformer_AIX,mmcp_transformer,AIX,N/A,N/A,N/A,17.6822,176571,SUCCESS
transformer_AIX,transformer,AIX,N/A,N/A,N/A,2.14895,90152.1,SUCCESS
transformer_AIX,transformer,AIX,N/A,N/A,N/A,2.00819,90214.8,SUCCESS
transformer_AIX,transformer,AIX,N/A,N/A,N/A,2.01086,91150.9,SUCCESS
transformer_AIX,transformer,AIX,N/A,N/A,N/A,2.52067,91254.6,SUCCESS
transformer_AIX,transformer,AIX,N/A,N/A,N/A,2.01555,90515.1,SUCCESS
transformer_AIX,transformer,AIX,N/A,N/A,N/A,2.00768,90270.3,SUCCESS
transformer_AIX,transformer,AIX,N/A,N/A,N/A,2.00429,90983.6,SUCCESS
transformer_AIX,transformer,AIX,N/A,N/A,N/A,1.99617,91859.8,SUCCESS
transformer_AIX,transformer,AIX,N/A,N/A,N/A,2.00123,89887.8,SUCCESS
transformer_AIX,transformer,AIX,N/A,N/A,N/A,2.0095,90363.1,SUCCESS
perfect_AIX,perfect,AIX,N/A,N/A,N/A,0.590909,48727.3,SUCCESS
perfect_AIX,perfect,AIX,N/A,N/A,N/A,0.480141,49190.8,SUCCESS
perfect_AIX,perfect,AIX,N/A,N/A,N/A,0.485859,48746.4,SUCCESS
perfect_AIX,perfect,AIX,N/A,N/A,N/A,0.489398,48604,SUCCESS
perfect_AIX,perfect,AIX,N/A,N/A,N/A,0.488115,48084.5,SUCCESS
perfect_AIX,perfect,AIX,N/A,N/A,N/A,0.482644,49736.1,SUCCESS
perfect_AIX,perfect,AIX,N/A,N/A,N/A,0.482542,48478.2,SUCCESS
perfect_AIX,perfect,AIX,N/A,N/A,N/A,0.49205,48468,SUCCESS
perfect_AIX,perfect,AIX,N/A,N/A,N/A,0.49864,48595.8,SUCCESS
perfect_AIX,perfect,AIX,N/A,N/A,N/A,0.495471,48445.9,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,1.72693,43328.5,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.391591,43319.4,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.38017,43330.8,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.380278,43361.2,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.40755,43364.8,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.375877,43358.2,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.414964,43327.4,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.369202,43357.9,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.394121,43342.1,SUCCESS
watercnn_AIX,watercnn,AIX,N/A,N/A,N/A,0.380548,43329.9,SUCCESS
