model,provider,runs,time_mean,time_median,time_min,time_max,time_p25,time_p75,time_std_dev,time_ci_lower,time_ci_upper,time_whisker_lower,time_whisker_upper,mem_mean,mem_median,mem_min,mem_max,mem_p25,mem_p75,mem_std_dev,mem_ci_lower,mem_ci_upper,mem_whisker_lower,mem_whisker_upper
mmcp_transformer,AIX,10,18.93848,18.84585,18.2019,19.9726,18.70665,19.13525,0.4864500837701647,18.636975114392087,19.23998488560791,18.06375,19.778149999999997,181015.4,180718.5,179683,182759,180445.0,181295.0,983.8013801350127,180405.63358721702,181625.16641278297,179170.0,182570.0
mmcp_transformer,PHYDLL_CPP_DLR96_I1,10,42.927279999999996,41.96295,36.7978,48.2026,40.8793,46.05735,3.573193888075173,40.712591483288776,45.141968516711216,33.112225,53.824425,219995.8,219904.5,217275,222772,219583.75,220587.25,1380.7562179231109,219139.99842975292,220851.60157024706,218078.5,222092.5
mmcp_transformer,PHYDLL_PY_DLR96_I1,10,45.21851,44.955349999999996,38.9263,55.3992,43.035675,46.079375,4.378804599037911,42.504498791491095,47.93252120850891,38.470124999999996,50.644925,214916.0,214936.0,213704,216593,214269.25,215142.25,862.2274770744796,214381.58587300775,215450.41412699225,212959.75,216451.75
mmcp_transformer,SS_DEFAULT,10,855.525,858.4445000000001,819.598,897.999,831.9065,870.621,28.465631113092623,837.8818190471007,873.1681809528992,773.8347500000002,928.6927499999999,24992.9,24937.5,24913,25291,24929.25,24967.25,126.35791317611343,24914.582554019627,25071.217445980375,24872.25,25024.25
mmcp_transformer,SS_TPQ1_I96_B96,10,971.8693,972.424,949.851,988.531,965.3835,979.22925,11.692237510892042,964.622376110297,979.116223889703,944.6148750000001,999.9978749999999,25005.0,24946.0,24929,25266,24933.75,24996.75,119.61140785430497,24930.864081340045,25079.135918659955,24839.25,25091.25
mmcp_transformer,SS_TPQ1_I96_B96_BATCH100,10,47.3251,47.41035,45.9984,48.5829,46.378074999999995,48.14935,0.9880633515451668,46.712691989969215,47.93750801003078,43.72116249999999,50.8062625,35243.5,35238.5,35030,35521,35227.25,35256.75,130.08821793092733,35162.870487178836,35324.129512821164,35183.0,35301.0
mmcp_transformer,SS_TPQ96_I1_B96,10,19.799429999999997,19.7103,18.9788,20.4519,19.366725,20.323349999999998,0.5316780041633387,19.469892558906146,20.12896744109385,17.9317875,21.758287499999994,41180.0,41072.0,40839,41822,40995.5,41295.5,333.23031741491417,40973.46170946341,41386.53829053659,40545.5,41745.5
watercnn,AIX,10,0.23913220000000002,0.2390785,0.238038,0.24056,0.23847775000000002,0.23983675000000002,0.0008738875849393385,0.23859055886327898,0.23967384113672105,0.23643925000000002,0.24187525,34016.0,33994.0,33837,34344,33978.0,34011.75,130.09227494359533,33935.36797261634,34096.63202738366,33927.375,34062.375
watercnn,PHYDLL_CPP_DLR96_I1,10,1.3413220000000001,1.3733,1.12605,1.54355,1.1766375,1.46977,0.16106966352068497,1.2414899882582693,1.441154011741731,0.73693875,1.90946875,68780.0,68678.5,67589,70000,68389.75,69399.25,814.2320171657325,68275.3337672569,69284.6662327431,66875.5,70913.5
watercnn,PHYDLL_PY_DLR96_I1,10,1.248821,1.23031,1.07966,1.63082,1.1505349999999999,1.28108,0.15468846286434335,1.152944097401267,1.344697902598733,0.9547174999999997,1.4768975000000002,61946.0,61734.5,60880,63295,61654.0,62408.0,705.4757260175576,61508.74161487743,62383.25838512257,60523.0,63539.0
watercnn,SS_DEFAULT,10,10.01734,9.97499,9.21167,11.313,9.720582499999999,10.164150000000001,0.5924202243528005,9.650154140783052,10.38452585921695,9.055231249999995,10.829501250000003,23151.6,23136.0,22975,23565,23014.25,23162.25,178.95449452615352,23040.682855155548,23262.51714484445,22792.25,23384.25
watercnn,SS_TPQ1_I96_B96,10,44.38637000000001,44.378,43.3207,45.4143,43.941449999999996,44.88155,0.6500184699085263,43.98348437832665,44.78925562167336,42.531299999999995,46.2917,23168.6,23104.5,23040,23596,23052.5,23138.0,184.9103085883051,23053.991403355205,23283.208596644792,22924.25,23266.25
watercnn,SS_TPQ1_I96_B96_BATCH100,10,3.014323,2.9973549999999998,2.79247,3.3273,2.939945,3.0092974999999997,0.1479007689146868,2.9226531536977145,3.1059928463022857,2.83591625,3.1133262499999996,35278.6,35229.5,35196,35501,35208.75,35325.5,99.27649380504039,35217.06779164625,35340.132208353745,35033.625,35500.625
watercnn,SS_TPQ96_I1_B96,10,1.6564489999999998,1.6103399999999999,1.33416,1.9521,1.562775,1.768435,0.19380186998581822,1.536329356504818,1.7765686434951817,1.254285,2.076925,33405.4,33224.0,31829,35973,32738.5,34088.75,1257.7847545939205,32625.81693237247,34184.98306762754,30713.125,36114.125
